relevant_bits_mask,shift,offset,magic_value
18049651735527936,58,0,55315364975935497
70506452091904,59,64,2401475196092417
275415828992,59,96,72464421930401920
1075975168,59,128,2393091487039649
38021120,59,160,879609874227202
8657588224,59,192,1127019837423632
2216338399232,59,224,299651815178752
567382630219776,58,256,10380942349647085568
9024825867763712,59,320,577615308248979474
18049651735527424,59,352,2237988601857
70506452221952,59,384,1202876074241
275449643008,59,416,2920593197394561792
9733406720,59,448,2370830893344
2216342585344,59,480,3459894881701601824
567382630203392,59,512,421043109888
1134765260406784,59,544,9259403035079610944
4512412933816832,59,576,12105702255441814592
9024825867633664,59,608,2235547584544
18049651768822272,57,640,9241406346917585921
70515108615168,57,768,17680233955594
2491752130560,57,896,198159492243849985
567383701868544,57,1024,3377978904023040
1134765256220672,59,1152,9460954795012784128
2269530512441344,59,1184,2200420485128
2256206450263040,59,1216,2322173020774400
4512412900526080,59,1248,5764783857480106000
9024834391117824,57,1280,36048590384398336
18051867805491712,55,1408,2522024724931936260
637888545440768,55,1920,9583662206086545408
1135039602493440,57,2432,1099645878912
2269529440784384,59,2560,2918352349813702664
4539058881568768,59,2592,9263932059007848450
1128098963916800,59,2624,72066416991817728
2256197927833600,59,2656,2310355542373498912
4514594912477184,57,2688,576462985686484994
9592139778506752,55,2816,6918096379935989760
19184279556981248,55,3328,17877801435136
2339762086609920,57,3840,2306482942178230338
4538784537380864,59,3968,18104559620718912
9077569074761728,59,4000,378373016750522625
562958610993152,59,4032,74318215991328919
1125917221986304,59,4064,9655718264793202690
2814792987328512,57,4096,589684245815300
5629586008178688,57,4224,288230397693657089
11259172008099840,57,4352,9570290014639898946
22518341868716544,57,4480,13511357363126274
9007336962655232,59,4608,18151072989696
18014673925310464,59,4640,9144539283520
2216338399232,59,4672,576461405756063744
4432676798464,59,4704,559085387778
11064376819712,59,4736,5092940553978400
22137335185408,59,4768,144678249707996228
44272556441600,59,4800,1170945799124705920
87995357200384,59,4832,36028805894185984
35253226045952,59,4864,72092952129720452
70506452091904,59,4896,288234860101896512
567382630219776,58,4928,4503875848013824
1134765260406784,59,4992,11961560614993789570
2832480465846272,59,5024,10070049067452662282
5667157807464448,59,5056,6990124351601281088
11333774449049600,59,5088,9007474132976640
22526811443298304,59,5120,19801981329664
9024825867763712,59,5152,3497045218061459520
18049651735527936,58,5184,4611703894114841088
